label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
0,6,0,0,0,6,14,vslgh,0
0 (số không),1,1,1,0,0,0,qipedc,0 (số không)
1,7,1,1,0,6,42,qipedc+vslgh,1
1 000 000 (một triệu),3,3,3,0,0,0,qipedc,1 000 000 (một triệu)
1 000 000 000 (một tỉ),2,2,3,0,0,0,qipedc,1 000 000 000 (một tỉ)
1 ngày,6,0,0,0,6,14,vslgh,1-NGÀY
10,2,1,1,1,0,0,qipedc+hcmue,10
10 000 (mười nghìn),3,3,3,0,0,0,qipedc,10 000 (mười nghìn)
100,1,1,1,0,0,0,qipedc,100
1000 (một nghìn),1,1,1,0,0,0,qipedc,1000 (một nghìn)
11,2,2,3,0,0,0,qipedc,11
1100000,1,0,0,1,0,0,hcmue,1100000
12,2,2,3,0,0,0,qipedc,12
120,6,0,0,0,6,14,vslgh,120
2,7,1,1,0,6,70,qipedc+vslgh,2
2 < 5 (toán học),1,1,1,0,0,0,qipedc,2 < 5 (Toán học)
2 < 6 (toán học),1,1,1,0,0,0,qipedc,2 < 6 (Toán học)
22,6,0,0,0,6,14,vslgh,22
23,2,2,3,0,0,0,qipedc,23
3,7,1,1,0,6,14,qipedc+vslgh,3
3 ngày,6,0,0,0,6,14,vslgh,3-NGÀY
33,1,1,2,0,0,0,qipedc,33
4,7,1,1,0,6,14,qipedc+vslgh,4
40,1,1,1,0,0,0,qipedc,40
5,8,1,1,1,6,14,qipedc+hcmue+vslgh,5
5 > 3 (toán học),1,1,1,0,0,0,qipedc,5 > 3 (Toán học)
5000 (năm nghìn),2,2,2,0,0,0,qipedc,5000 (năm nghìn)
55,6,0,0,0,6,14,vslgh,55
6,2,2,3,0,0,0,qipedc,6
60,6,0,0,0,6,14,vslgh,60
7,1,1,1,0,0,0,qipedc,7
70,6,0,0,0,6,14,vslgh,70
7up,1,1,1,0,0,0,qipedc,7up
8,1,1,1,0,0,0,qipedc,8
80,1,1,1,0,0,0,qipedc,80
9,7,1,1,0,6,14,qipedc+vslgh,9
90,1,1,1,0,0,0,qipedc,90
a,2,1,1,1,0,0,qipedc+hcmue,a
ai,2,2,3,0,0,0,qipedc,ai
ai bảo,1,1,1,0,0,0,qipedc,ai bảo
ai cho,1,1,1,0,0,0,qipedc,ai cho
albania (nước albania),1,1,1,0,0,0,qipedc,Albania (nước Albania)
amidan,6,0,0,0,6,14,vslgh,AMIDAN
an giang,1,1,1,0,0,0,qipedc,An Giang
an ninh,2,1,1,1,0,0,qipedc+hcmue,an ninh
an toàn,1,0,0,1,0,0,hcmue,an toàn
anh (nước anh),2,2,3,0,0,0,qipedc,Anh (nước Anh)
anh chị,1,1,1,0,0,0,qipedc,anh chị
anh chị em,1,1,1,0,0,0,qipedc,anh chị em
anh cả,2,0,0,2,0,0,hcmue,anh cả
anh dũng,2,2,3,0,0,0,qipedc,anh dũng
anh em,2,2,3,0,0,0,qipedc,anh em
anh em ruột,1,0,0,1,0,0,hcmue,anh em ruột
anh em sinh đôi,1,0,0,1,0,0,hcmue,anh em sinh đôi
"anh hai, anh cả",2,2,3,0,0,0,qipedc,"anh hai, anh cả"
anh hùng,2,1,1,1,0,0,qipedc+hcmue,anh hùng
anh họ,1,1,2,0,0,0,qipedc,anh họ
anh ruột,2,2,3,0,0,0,qipedc,anh ruột
anh rể,2,2,3,0,0,0,qipedc,anh rể
anh trai,2,0,0,2,0,0,hcmue,anh trai
anh vợ,1,1,1,0,0,0,qipedc,anh vợ
ao chuôm,1,1,1,0,0,0,qipedc,ao chuôm
b,2,1,1,1,0,0,qipedc+hcmue,b
ba,1,0,0,1,0,0,hcmue,Ba
ba (cha),1,0,0,1,0,0,hcmue,ba (cha)
ba chân bốn cẳng,1,1,1,0,0,0,qipedc,Ba chân bốn cẳng
ba là,1,1,1,0,0,0,qipedc,ba là
ban giám hiệu,1,1,1,0,0,0,qipedc,ban giám hiệu
ban ngày,1,1,1,0,0,0,qipedc,ban ngày
ban đêm,2,2,3,0,0,0,qipedc,ban đêm
bao giờ?,2,2,3,0,0,0,qipedc,bao giờ?
bao la,1,1,1,0,0,0,qipedc,bao la
bao lâu,6,0,0,0,6,56,vslgh,BAO-LÂU
bao nhiêu,6,0,0,0,6,42,vslgh,BAO-NHIÊU
bao nhiêu?,1,1,1,0,0,0,qipedc,bao nhiêu?
bao tay (dùng cho trẻ sơ sinh),1,1,1,0,0,0,qipedc,bao tay (dùng cho trẻ sơ sinh)
bay,2,1,1,1,0,0,qipedc+hcmue,bay
bay liệng (bay lượn),1,1,1,0,0,0,qipedc,bay liệng (bay lượn)
bay nhanh (máy bay),1,1,1,0,0,0,qipedc,bay nhanh (máy bay)
bia rượu,6,0,0,0,6,14,vslgh,BIA-RƯỢU
binh chủng,1,0,0,1,0,0,hcmue,binh chủng
biên lai,6,0,0,0,6,14,vslgh,BIÊN-LAI
biên vải,1,0,0,1,0,0,hcmue,biên vải
biến đổi,1,1,1,0,0,0,qipedc,biến đổi
biển chỉ dẫn,1,0,0,1,0,0,hcmue,biển chỉ dẫn
biển cấm,1,0,0,1,0,0,hcmue,biển cấm
biển hiệu,1,1,1,0,0,0,qipedc,biển hiệu
biển đông,1,1,1,0,0,0,qipedc,biển đông
biểu thị,1,1,1,0,0,0,qipedc,biểu thị
biểu thức,1,1,1,0,0,0,qipedc,biểu thức
biểu đồ,1,1,1,0,0,0,qipedc,biểu đồ
biểu đồ cột,1,1,1,0,0,0,qipedc,biểu đồ cột
biểu đồ hình quạt,1,1,1,0,0,0,qipedc,biểu đồ hình quạt
biện pháp,1,1,1,0,0,0,qipedc,biện pháp
bmi,6,0,0,0,6,42,vslgh,BMI
bom,1,0,0,1,0,0,hcmue,bom
bom nguyên tử,1,1,1,0,0,0,qipedc,bom nguyên tử
bom đạn,1,1,1,0,0,0,qipedc,bom đạn
boong tàu,1,1,1,0,0,0,qipedc,boong tàu
bra xin (nước bra xin),2,2,3,0,0,0,qipedc,Bra-xin (nước Bra-xin)
bru nây (nước bru nây),2,2,3,0,0,0,qipedc,Bru-nây (nước Bru-nây)
bun ga ri (nước bun ga ri),1,1,1,0,0,0,qipedc,Bun-ga-ri (nước Bun-ga-ri)
buôn làng,1,1,1,0,0,0,qipedc,buôn làng
buông màn,3,3,3,0,0,0,qipedc,buông màn
buồn,6,0,0,0,6,14,vslgh,BUỒN
buồn nôn,1,1,1,0,0,0,qipedc,buồn nôn
buồn thảm,1,1,1,0,0,0,qipedc,buồn thảm
buồng trứng,1,1,1,0,0,0,qipedc,buồng trứng
buổi chiều,2,1,1,1,0,0,qipedc+hcmue,buổi chiều
buổi sáng,3,2,3,1,0,0,qipedc+hcmue,buổi sáng
buổi trưa,3,3,3,0,0,0,qipedc,buổi trưa
buổi tối,2,2,3,0,0,0,qipedc,buổi tối
buổi đêm,2,2,3,0,0,0,qipedc,buổi đêm
buộc dây,1,1,1,0,0,0,qipedc,buộc dây
buộc tóc,1,1,1,0,0,0,qipedc,buộc tóc
bà,3,0,0,3,0,0,hcmue,bà
bà ngoại,5,0,0,5,0,0,hcmue,bà ngoại
bà nà,1,1,1,0,0,0,qipedc,Bà Nà
bà nội,2,0,0,2,0,0,hcmue,bà nội
bà rịa vũng tàu,1,1,1,0,0,0,qipedc,Bà Rịa - Vũng Tàu
bài báo,1,1,1,0,0,0,qipedc,bài báo
bài thơ,2,2,3,0,0,0,qipedc,bài thơ
bàn bạc,1,1,1,0,0,0,qipedc,bàn bạc
bàn chân,1,1,1,0,0,0,qipedc,bàn chân
bàn chải đánh răng,1,1,1,0,0,0,qipedc,bàn chải đánh răng
bàn ghế,1,1,1,0,0,0,qipedc,bàn ghế
bàn là,1,1,1,0,0,0,qipedc,bàn là
bàn phím,1,0,0,1,0,0,hcmue,bàn phím
bàn phím (máy vi tính),1,1,1,0,0,0,qipedc,bàn phím (máy vi tính)
bàn tay,1,1,1,0,0,0,qipedc,bàn tay
bàn tán,1,1,1,0,0,0,qipedc,bàn tán
bác gái,1,0,0,1,0,0,hcmue,bác gái
bác sĩ,6,0,0,0,6,363,vslgh,BÁC-SĨ
bác trai,1,0,0,1,0,0,hcmue,bác trai
bán buôn,1,1,1,0,0,0,qipedc,bán buôn
bán hàng,2,2,3,0,0,0,qipedc,bán hàng
bán kính (hình tròn),1,1,1,0,0,0,qipedc,bán kính (hình tròn)
bán đảo,1,1,1,0,0,0,qipedc,bán đảo
bánh bột lọc,1,1,1,0,0,0,qipedc,bánh bột lọc
bánh canh,1,1,1,0,0,0,qipedc,bánh canh
bánh cuốn,2,2,3,0,0,0,qipedc,bánh cuốn
bánh cốm,1,1,1,0,0,0,qipedc,bánh cốm
bánh gai,1,1,1,0,0,0,qipedc,bánh gai
bánh giò,1,1,1,0,0,0,qipedc,bánh giò
bánh giầy,1,1,1,0,0,0,qipedc,bánh giầy
bánh gối,1,1,1,0,0,0,qipedc,bánh gối
bánh hamburger,1,1,1,0,0,0,qipedc,bánh hamburger
bánh mì,2,2,3,0,0,0,qipedc,bánh mì
bánh pizza,1,1,1,0,0,0,qipedc,bánh pizza
bánh pía,1,1,1,0,0,0,qipedc,bánh pía
bánh sandwich,1,1,1,0,0,0,qipedc,bánh sandwich
bánh trung thu,1,1,1,0,0,0,qipedc,bánh Trung Thu
bánh tráng,1,1,1,0,0,0,qipedc,bánh tráng
bánh xe,1,1,1,0,0,0,qipedc,bánh xe
bánh đa,1,1,1,0,0,0,qipedc,bánh đa
bánh đúc,1,1,1,0,0,0,qipedc,bánh đúc
báo (con báo),2,2,3,0,0,0,qipedc,báo (con báo)
báo cáo,1,1,1,0,0,0,qipedc,báo cáo
báo thù,1,1,1,0,0,0,qipedc,báo thù
báo động,1,1,1,0,0,0,qipedc,báo động
bát,1,1,1,0,0,0,qipedc,bát
bát hương,1,1,1,0,0,0,qipedc,bát hương
bát ngát,1,1,1,0,0,0,qipedc,bát ngát
bâu áo,1,0,0,1,0,0,hcmue,bâu áo
bãi biển vũng tàu,1,1,1,0,0,0,qipedc,Bãi biển Vũng Tàu
bãi cát,1,1,1,0,0,0,qipedc,bãi cát
bãi cỏ,1,1,1,0,0,0,qipedc,bãi cỏ
bãi tắm,1,1,1,0,0,0,qipedc,bãi tắm
bãi đỗ xe (ô tô),1,1,1,0,0,0,qipedc,bãi đỗ xe (ô tô)
bão,3,0,0,3,0,0,hcmue,bão
bão biển,1,0,0,1,0,0,hcmue,bão biển
bé (em bé),2,0,0,2,0,0,hcmue,bé (em bé)
bé gái,1,1,1,0,0,0,qipedc,bé gái
bé hơn,1,1,1,0,0,0,qipedc,bé hơn
bé loắt choắt,1,1,1,0,0,0,qipedc,bé loắt choắt
bé trai,2,2,3,0,0,0,qipedc,bé trai
béo,1,1,1,0,0,0,qipedc,béo
béo phì,6,0,0,0,6,14,vslgh,BÉO-PHÌ
bê tông,2,1,1,1,0,0,qipedc+hcmue,bê tông
bên cạnh,2,2,2,0,0,0,qipedc,bên cạnh
bên dưới,1,1,1,0,0,0,qipedc,bên dưới
bên phải,1,1,1,0,0,0,qipedc,bên phải
bên trong,1,1,1,0,0,0,qipedc,bên trong
bên trái,1,1,1,0,0,0,qipedc,bên trái
bên trên,1,1,1,0,0,0,qipedc,bên trên
bênh vực,1,1,1,0,0,0,qipedc,bênh vực
bìa sách,1,1,1,0,0,0,qipedc,bìa sách
bìa vở,3,3,3,0,0,0,qipedc,bìa vở
bình an,2,2,3,0,0,0,qipedc,bình an
bình dương,1,1,1,0,0,0,qipedc,Bình Dương
bình minh,1,1,1,0,0,0,qipedc,bình minh
bình phương,1,1,1,0,0,0,qipedc,bình phương
bình phước,1,1,1,0,0,0,qipedc,Bình Phước
bình sữa (em bé),1,1,1,0,0,0,qipedc,bình sữa (em bé)
bình thuận,1,1,1,0,0,0,qipedc,Bình Thuận
bình thường,8,2,3,0,6,42,qipedc+vslgh,BÌNH-THƯỜNG | bình thường
bình định,1,1,1,0,0,0,qipedc,Bình Định
bí ngô,1,1,1,0,0,0,qipedc,bí ngô
bím tóc đuôi sam,1,1,1,0,0,0,qipedc,bím tóc đuôi sam
bít tất,1,1,1,0,0,0,qipedc,bít tất
bít tết (bò),2,2,3,0,0,0,qipedc,bít tết (bò)
bò,1,1,1,0,0,0,qipedc,bò
bò sát,1,1,1,0,0,0,qipedc,bò sát
bò tót,1,1,1,0,0,0,qipedc,bò tót
bó hoa,1,1,1,0,0,0,qipedc,bó hoa
bó đũa,1,1,1,0,0,0,qipedc,bó đũa
bóc lột,1,1,1,0,0,0,qipedc,bóc lột
bóc vỏ,1,1,1,0,0,0,qipedc,bóc vỏ
bón phân,2,2,3,0,0,0,qipedc,bón phân
bóng bay,1,1,1,0,0,0,qipedc,bóng bay
bóng chuyền,1,0,0,1,0,0,hcmue,bóng chuyền
bóp (đấm bóp),1,0,0,1,0,0,hcmue,bóp (đấm bóp)
bông hoa,2,2,3,0,0,0,qipedc,bông hoa
bùn,1,1,1,0,0,0,qipedc,bùn
bùng binh,1,1,1,0,0,0,qipedc,bùng binh
bún chả,1,1,1,0,0,0,qipedc,bún chả
bún mắm,1,1,1,0,0,0,qipedc,bún mắm
bún ngan,1,1,1,0,0,0,qipedc,bún ngan
bún đậu,1,1,1,0,0,0,qipedc,bún đậu
bún ốc,1,1,1,0,0,0,qipedc,bún ốc
búp bê,1,1,1,0,0,0,qipedc,búp bê
bút,1,1,1,0,0,0,qipedc,bút
bút bi,1,1,1,0,0,0,qipedc,bút bi
bút dạ,1,1,1,0,0,0,qipedc,bút dạ
bút màu,3,3,3,0,0,0,qipedc,bút màu
bút máy,1,1,1,0,0,0,qipedc,bút máy
băng bó,1,1,1,0,0,0,qipedc,băng bó
băng chuyền,1,1,1,0,0,0,qipedc,băng chuyền
băng dính,1,1,1,0,0,0,qipedc,băng dính
băng giá,1,1,1,0,0,0,qipedc,băng giá
băng hình,1,1,1,0,0,0,qipedc,băng hình
băng la đét (nước băng la đét),1,1,1,0,0,0,qipedc,Băng-la-đét (nước Băng-la-đét)
bơi,2,1,1,1,0,0,qipedc+hcmue,bơi
bơi (lội),1,0,0,1,0,0,hcmue,bơi (lội)
bơi lội,1,1,1,0,0,0,qipedc,bơi lội
bơm (cái bơm),1,1,1,0,0,0,qipedc,bơm (cái bơm)
bơm nước,1,1,1,0,0,0,qipedc,bơm nước
bơm xe,1,1,1,0,0,0,qipedc,bơm xe
bưu tá,1,1,1,0,0,0,qipedc,bưu tá
bước,1,1,1,0,0,0,qipedc,bước
bước chân,1,1,1,0,0,0,qipedc,bước chân
bướng bỉnh,1,1,2,0,0,0,qipedc,bướng bỉnh
bạc liêu,1,1,1,0,0,0,qipedc,Bạc Liêu
bạn,4,2,3,2,0,0,qipedc+hcmue,bạn
bạn gái,2,2,3,0,0,0,qipedc,bạn gái
bạn trai,2,2,3,0,0,0,qipedc,bạn trai
bạn yêu bạn ấy,1,1,1,0,0,0,qipedc,bạn yêu bạn ấy
bạn yêu tôi,1,1,1,0,0,0,qipedc,bạn yêu tôi
bạn ấy yêu bạn,1,1,1,0,0,0,qipedc,bạn ấy yêu bạn
bạn ấy yêu tôi,1,1,1,0,0,0,qipedc,bạn ấy yêu tôi
bản làng,1,1,1,0,0,0,qipedc,bản làng
bản lề,1,1,1,0,0,0,qipedc,bản lề
bản nhạc,1,1,1,0,0,0,qipedc,bản nhạc
bản sao (chỉ người),1,1,1,0,0,0,qipedc,bản sao (chỉ người)
bản thân,1,1,1,0,0,0,qipedc,bản thân
bản đồ việt nam,2,2,3,0,0,0,qipedc,bản đồ Việt Nam
bảng,1,0,0,1,0,0,hcmue,bảng
bảng chia,1,1,2,0,0,0,qipedc,bảng chia
bảng chỉ dẫn,1,1,1,0,0,0,qipedc,bảng chỉ dẫn
bảng chữ cái ngón tay,1,1,1,0,0,0,qipedc,bảng chữ cái ngón tay
bảng cộng,2,2,3,0,0,0,qipedc,bảng cộng
bảng cửu chương,1,1,1,0,0,0,qipedc,bảng cửu chương
bảng học sinh,1,1,1,0,0,0,qipedc,bảng học sinh
bảng màu,1,1,1,0,0,0,qipedc,bảng màu
bảng nhân,2,2,3,0,0,0,qipedc,bảng nhân
bảng trừ,2,2,3,0,0,0,qipedc,bảng trừ
bảng đen,2,2,3,0,0,0,qipedc,bảng đen
bảo hiểm,7,1,1,0,6,56,qipedc+vslgh,BẢO-HIỂM | bảo hiểm
bảo thủ,1,1,1,0,0,0,qipedc,bảo thủ
bảo tàng,1,1,1,0,0,0,qipedc,bảo tàng
bảo vệ môi trường,2,2,3,0,0,0,qipedc,bảo vệ môi trường
bảo đảm,2,1,1,1,0,0,qipedc+hcmue,bảo đảm
bảy mươi,1,0,0,1,0,0,hcmue,Bảy mươi
bất hiếu,1,1,1,0,0,0,qipedc,bất hiếu
bất khuất,1,1,1,0,0,0,qipedc,bất khuất
bất thường,6,0,0,0,6,14,vslgh,BẤT-THƯỜNG
bất động,1,1,1,0,0,0,qipedc,bất động
bầu trời,3,1,1,2,0,0,qipedc+hcmue,bầu trời
bẫy chim,1,1,1,0,0,0,qipedc,bẫy chim
bẫy chuột (dụng cụ),1,1,1,0,0,0,qipedc,bẫy chuột (dụng cụ)
bẫy chuột (hành động),2,2,3,0,0,0,qipedc,bẫy chuột (hành động)
bậc thang,1,1,1,0,0,0,qipedc,bậc thang
bập bênh,1,1,1,0,0,0,qipedc,bập bênh
bật lửa,1,1,1,0,0,0,qipedc,bật lửa
bật đèn,1,1,1,0,0,0,qipedc,bật đèn
bắc bán cầu,1,1,1,0,0,0,qipedc,bắc bán cầu
bắc bộ,1,1,1,0,0,0,qipedc,Bắc bộ
bắc giang,1,1,1,0,0,0,qipedc,Bắc Giang
bắc kạn,1,1,1,0,0,0,qipedc,Bắc Kạn
bắc nam,1,1,2,0,0,0,qipedc,bắc nam
bắc ninh,1,1,1,0,0,0,qipedc,Bắc Ninh
bắn bi,2,2,3,0,0,0,qipedc,bắn bi
bắn cung tên,1,1,1,0,0,0,qipedc,bắn cung tên
bắn súng,1,1,1,0,0,0,qipedc,bắn súng
bắp ngô,2,2,3,0,0,0,qipedc,bắp ngô
bắt,1,1,1,0,0,0,qipedc,bắt
bắt buộc,1,1,1,0,0,0,qipedc,bắt buộc
bắt giữ,1,1,1,0,0,0,qipedc,bắt giữ
bắt nạt,1,1,1,0,0,0,qipedc,bắt nạt
bắt tay,1,1,1,0,0,0,qipedc,bắt tay
bắt đền,3,3,3,0,0,0,qipedc,bắt đền
bằng,1,1,1,0,0,0,qipedc,bằng
bằng cách,1,0,0,1,0,0,hcmue,bằng cách
bằng phẳng,1,1,1,0,0,0,qipedc,bằng phẳng
bẻ ngô,2,2,3,0,0,0,qipedc,bẻ ngô
bế em,1,1,1,0,0,0,qipedc,bế em
bến phà,1,1,1,0,0,0,qipedc,bến phà
bến tre,1,1,1,0,0,0,qipedc,Bến Tre
bến tàu,2,1,1,1,0,0,qipedc+hcmue,bến tàu
bến xe,3,1,1,2,0,0,qipedc+hcmue,bến xe
bể bơi,2,1,1,1,0,0,qipedc+hcmue,bể bơi
bể cá,1,1,1,0,0,0,qipedc,bể cá
bệ hạ,1,1,2,0,0,0,qipedc,bệ hạ
bệ xí,1,1,1,0,0,0,qipedc,bệ xí
bệnh,6,0,0,0,6,182,vslgh,BỆNH
bệnh gì,6,0,0,0,6,28,vslgh,BỆNH-GÌ
bệnh nhân,1,1,1,0,0,0,qipedc,bệnh nhân
bệnh phong/cùi,1,1,1,0,0,0,qipedc,bệnh phong/cùi
bệnh thủy đậu,1,1,1,0,0,0,qipedc,bệnh thủy đậu
bệnh tật,1,1,1,0,0,0,qipedc,bệnh tật
bệnh đao down,1,1,1,0,0,0,qipedc,bệnh Đao - Down
bị động,1,1,1,0,0,0,qipedc,bị động
bịa đặt,1,1,1,0,0,0,qipedc,bịa đặt
bọ cạp,1,0,0,1,0,0,hcmue,bọ cạp
bọc sách,1,1,1,0,0,0,qipedc,bọc sách
bọt biển,1,1,1,0,0,0,qipedc,bọt biển
bọt khí,1,0,0,1,0,0,hcmue,bọt khí
bọt xà phòng,1,1,1,0,0,0,qipedc,bọt xà phòng
bỏ hoang,1,1,1,0,0,0,qipedc,bỏ hoang
bỏ phiếu,1,1,1,0,0,0,qipedc,bỏ phiếu
bỏ qua,1,1,1,0,0,0,qipedc,bỏ qua
bỏ ra,6,0,0,0,6,14,vslgh,BỎ-RA
bỏ rơi,1,1,1,0,0,0,qipedc,bỏ rơi
bỏ đĩa,1,0,0,1,0,0,hcmue,bỏ đĩa
bỏng,1,1,1,0,0,0,qipedc,bỏng
bỏng ngô,1,1,1,0,0,0,qipedc,bỏng ngô
bố,2,1,1,1,0,0,qipedc+hcmue,bố
bố cục,1,0,0,1,0,0,hcmue,bố cục
bố dượng,3,2,3,1,0,0,qipedc+hcmue,bố dượng
bố mẹ,1,1,1,0,0,0,qipedc,bố mẹ
bố trí,1,1,1,0,0,0,qipedc,bố trí
bốc hơi,1,1,1,0,0,0,qipedc,bốc hơi
bốc thăm,1,1,1,0,0,0,qipedc,bốc thăm
bốc vác,1,1,1,0,0,0,qipedc,bốc vác
bối rối,1,1,1,0,0,0,qipedc,bối rối
bốn là,1,1,1,0,0,0,qipedc,bốn là
bốt cảnh sát,2,2,3,0,0,0,qipedc,bốt cảnh sát
bốt điện,2,2,3,0,0,0,qipedc,bốt điện
bồ kết,1,1,1,0,0,0,qipedc,bồ kết
bồi bàn,1,1,1,0,0,0,qipedc,bồi bàn
bồi thường,1,1,1,0,0,0,qipedc,bồi thường
bồn hoa,1,1,1,0,0,0,qipedc,bồn hoa
bồn rửa bát,1,1,1,0,0,0,qipedc,bồn rửa bát
bổ ngữ,1,1,1,0,0,0,qipedc,bổ ngữ
bổ trợ,1,1,1,0,0,0,qipedc,bổ trợ
bổ ích,1,1,1,0,0,0,qipedc,bổ ích
bổi,6,0,0,0,6,14,vslgh,BỔI
bộ nhớ,1,0,0,1,0,0,hcmue,bộ nhớ
bộ sách,1,1,1,0,0,0,qipedc,bộ sách
bộ truyện,1,1,1,0,0,0,qipedc,bộ truyện
bộ xử lý,1,0,0,1,0,0,hcmue,bộ xử lý
bộ đội,4,3,3,1,0,0,qipedc+hcmue,bộ đội
bột giặt,1,1,1,0,0,0,qipedc,bột giặt
bột màu,2,2,3,0,0,0,qipedc,bột màu
bột ngọt,1,1,2,0,0,0,qipedc,bột ngọt
bớt,7,1,1,0,6,14,qipedc+vslgh,BỚT | bớt
bớt đi,1,1,1,0,0,0,qipedc,bớt đi
bờ biển,1,1,1,0,0,0,qipedc,bờ biển
bờ ruộng,1,1,1,0,0,0,qipedc,bờ ruộng
bờ rào,1,1,1,0,0,0,qipedc,bờ rào
bờm tóc,1,1,1,0,0,0,qipedc,bờm tóc
bụi phấn,2,2,3,0,0,0,qipedc,bụi phấn
bụi tre,1,1,1,0,0,0,qipedc,bụi tre
bụi đời,1,1,1,0,0,0,qipedc,bụi đời
bụng,7,1,1,0,6,14,qipedc+vslgh,BỤNG | bụng
bụng đau,6,0,0,0,6,14,vslgh,BỤNG-ĐAU
bức tranh,2,2,3,0,0,0,qipedc,bức tranh
bức tường,1,1,1,0,0,0,qipedc,bức tường
bữa cơm,1,1,1,0,0,0,qipedc,bữa cơm
bực mình,1,1,1,0,0,0,qipedc,bực mình
c,2,1,1,1,0,0,qipedc+hcmue,c
ca,1,1,1,0,0,0,qipedc,ca
ca nô,1,1,1,0,0,0,qipedc,ca nô
cam pu chia (nước cam pu chia),2,2,3,0,0,0,qipedc,Cam-pu-chia (nước Cam-pu-chia)
canh giữa,1,0,0,1,0,0,hcmue,canh giữa
cao,6,0,0,0,6,42,vslgh,CAO
cao (người),1,1,1,0,0,0,qipedc,cao (người)
cao (nhà),1,1,1,0,0,0,qipedc,cao (nhà)
cao (núi),1,1,1,0,0,0,qipedc,cao (núi)
cao (vật),1,1,1,0,0,0,qipedc,cao (vật)
cao bằng,1,1,1,0,0,0,qipedc,Cao Bằng
cao nguyên,1,1,1,0,0,0,qipedc,cao nguyên
cao quý,1,1,1,0,0,0,qipedc,cao quý
cao thấp,1,1,1,0,0,0,qipedc,cao thấp
cao tầng,1,1,1,0,0,0,qipedc,cao tầng
cao tốc,1,1,1,0,0,0,qipedc,cao tốc
cao độ,1,1,1,0,0,0,qipedc,cao độ
cau có,1,1,1,0,0,0,qipedc,cau có
cccd,6,0,0,0,6,14,vslgh,CCCD
cha,2,1,1,1,0,0,qipedc+hcmue,cha
cha mẹ,1,1,1,0,0,0,qipedc,cha mẹ
chai,1,1,1,0,0,0,qipedc,chai
chai nước,1,1,1,0,0,0,qipedc,chai nước
chanh muối,1,1,1,0,0,0,qipedc,chanh muối
chanh nóng,1,1,1,0,0,0,qipedc,chanh nóng
chanh đá,1,1,1,0,0,0,qipedc,chanh đá
chat,1,0,0,1,0,0,hcmue,chat
che,6,0,0,0,6,14,vslgh,CHE
che chở,1,1,1,0,0,0,qipedc,che chở
che phủ,1,1,1,0,0,0,qipedc,che phủ
chen lấn,1,1,1,0,0,0,qipedc,chen lấn
chi hội,1,1,1,0,0,0,qipedc,chi hội
chi lê (nước chi lê),1,1,1,0,0,0,qipedc,Chi-lê (nước Chi-lê)
chi nhánh,1,0,0,1,0,0,hcmue,chi nhánh
chi phí,6,0,0,0,6,14,vslgh,CHI-PHÍ
chi tiết,1,1,1,0,0,0,qipedc,chi tiết
chia,2,2,3,0,0,0,qipedc,chia
chia ba,2,2,3,0,0,0,qipedc,chia ba
chia cắt,1,1,1,0,0,0,qipedc,chia cắt
chia hết,1,1,1,0,0,0,qipedc,chia hết
chia phần,1,1,1,0,0,0,qipedc,chia phần
chia rẽ,1,1,1,0,0,0,qipedc,chia rẽ
chia sẻ,1,1,1,0,0,0,qipedc,chia sẻ
chia tay,1,1,1,0,0,0,qipedc,chia tay
chia đôi,2,2,3,0,0,0,qipedc,chia đôi
chia đều,1,1,1,0,0,0,qipedc,chia đều
chim bồ câu,1,1,1,0,0,0,qipedc,chim bồ câu
chim chuyền cành,1,1,1,0,0,0,qipedc,chim chuyền cành
chim chào mào,1,1,1,0,0,0,qipedc,chim chào mào
chim chích chòe,1,1,1,0,0,0,qipedc,chim chích chòe
chim chóc,1,1,1,0,0,0,qipedc,chim chóc
chim gõ kiến,1,1,1,0,0,0,qipedc,chim gõ kiến
chim phượng hoàng,1,1,1,0,0,0,qipedc,chim phượng hoàng
chim sâu,1,1,1,0,0,0,qipedc,chim sâu
chim sơn ca,1,1,1,0,0,0,qipedc,chim sơn ca
chim sẻ,1,1,1,0,0,0,qipedc,chim sẻ
chim yến,1,1,1,0,0,0,qipedc,chim yến
chim đại bàng,1,1,1,0,0,0,qipedc,chim đại bàng
chiên/rán (1)(2),1,1,1,0,0,0,qipedc,chiên/rán (1)(2)
chiêng,1,1,1,0,0,0,qipedc,chiêng
chiếc ghe,1,0,0,1,0,0,hcmue,chiếc ghe
chiếc gối,3,3,3,0,0,0,qipedc,chiếc gối
chiếm đoạt,1,1,1,0,0,0,qipedc,chiếm đoạt
chiến công,1,0,0,1,0,0,hcmue,chiến công
chiến dịch,1,0,0,1,0,0,hcmue,chiến dịch
chiến khu,1,1,1,0,0,0,qipedc,chiến khu
chiến sĩ,1,0,0,1,0,0,hcmue,chiến sĩ
chiến thắng,2,1,1,1,0,0,qipedc+hcmue,chiến thắng
chiến đấu,1,0,0,1,0,0,hcmue,chiến đấu
chiếu,2,2,3,0,0,0,qipedc,chiếu
chiếu phim,1,1,1,0,0,0,qipedc,chiếu phim
chiều cao,7,1,1,0,6,14,qipedc+vslgh,CHIỀU-CAO | chiều cao
chiều dài,1,1,1,0,0,0,qipedc,chiều dài
chiều rộng,1,1,1,0,0,0,qipedc,chiều rộng
